edgeid,source,target,date,value,type
558,214,57.0,2020/12/18,1.0,Directed
559,809,834.0,2020/12/19,1.0,Directed
560,273,834.0,2020/12/19,1.0,Directed
561,809,835.0,2020/12/23,1.0,Directed
562,219,835.0,2020/12/23,1.0,Directed
563,9,721.0,2020/12/27,1.0,Directed
564,60,722.0,2020/12/27,1.0,Directed
565,60,631.0,2020/12/27,1.0,Directed
566,282,721.0,2020/12/27,1.0,Directed
567,282,722.0,2020/12/27,1.0,Directed
568,289,722.0,2020/12/27,1.0,Directed
569,461,721.0,2020/12/27,1.0,Directed
570,461,722.0,2020/12/27,1.0,Directed
571,481,721.0,2020/12/27,1.0,Directed
572,1128,721.0,2020/12/27,1.0,Directed
573,1131,721.0,2020/12/27,1.0,Directed
574,1131,722.0,2020/12/27,1.0,Directed
575,554,721.0,2020/12/27,1.0,Directed
576,631,722.0,2020/12/27,1.0,Directed
577,668,721.0,2020/12/27,1.0,Directed
578,250,236.0,2021/1/1,1.0,Directed
579,724,15.0,2021/1/1,1.0,Directed
580,724,146.0,2021/1/1,1.0,Directed
581,724,609.0,2021/1/1,1.0,Directed
582,726,441.0,2021/1/1,1.0,Directed
583,259,441.0,2021/1/1,1.0,Directed
584,315,441.0,2021/1/1,1.0,Directed
585,473,15.0,2021/1/1,1.0,Directed
586,559,314.0,2021/1/1,1.0,Directed
587,609,331.0,2021/1/1,1.0,Directed
588,282,723.0,2021/1/3,1.0,Directed
589,381,723.0,2021/1/3,1.0,Directed
590,405,723.0,2021/1/3,1.0,Directed
591,1131,723.0,2021/1/3,1.0,Directed
592,535,723.0,2021/1/3,1.0,Directed
593,668,723.0,2021/1/3,1.0,Directed
594,6,1029.0,2021/1/4,1.0,Directed
595,6,1030.0,2021/1/4,1.0,Directed
596,12,1030.0,2021/1/4,1.0,Directed
597,90,1029.0,2021/1/4,1.0,Directed
598,129,1029.0,2021/1/4,1.0,Directed
599,207,1029.0,2021/1/4,1.0,Directed
600,1029,377.0,2021/1/4,1.0,Directed
